coas_codigo,coas_municipio,coas_anio,coas_cobertura,coas_tipo_poblacion,coas_num_personas
666,41885,2014,,4,16
667,41006,2014,,5,1
668,41013,2014,,5,2
669,41016,2014,,5,7
670,41020,2014,,5,5
671,41026,2014,,5,0
672,41078,2014,,5,0
673,41132,2014,,5,9
674,41206,2014,,5,12
675,41244,2014,,5,0
676,41298,2014,,5,21
677,41306,2014,,5,0
678,41319,2014,,5,2
679,41349,2014,,5,0
680,41357,2014,,5,0
681,41359,2014,,5,8
682,41378,2014,,5,0
683,41396,2014,,5,48
684,41483,2014,,5,23
685,41001,2014,,5,260
686,41503,2014,,5,2
687,41518,2014,,5,1
688,41524,2014,,5,10
689,41530,2014,,5,2
690,41548,2014,,5,0
691,41551,2014,,5,99
692,41615,2014,,5,1
693,41660,2014,,5,0
694,41668,2014,,5,0
695,41676,2014,,5,2
696,41770,2014,,5,0
697,41791,2014,,5,0
698,41799,2014,,5,2
699,41801,2014,,5,0
700,41797,2014,,5,29
701,41807,2014,,5,2
702,41872,2014,,5,1
703,41885,2014,,5,1
704,41006,2014,,6,9
705,41013,2014,,6,1
706,41016,2014,,6,1
707,41020,2014,,6,0
708,41026,2014,,6,0
709,41078,2014,,6,3
710,41132,2014,,6,7
711,41206,2014,,6,0
712,41244,2014,,6,2
713,41298,2014,,6,5
714,41306,2014,,6,7
715,41319,2014,,6,3
716,41349,2014,,6,0
717,41357,2014,,6,9
718,41359,2014,,6,22
719,41378,2014,,6,5
720,41396,2014,,6,12
721,41483,2014,,6,0
722,41001,2014,,6,13
723,41503,2014,,6,3
724,41518,2014,,6,0
725,41524,2014,,6,6
726,41530,2014,,6,10
727,41548,2014,,6,0
728,41551,2014,,6,176
729,41615,2014,,6,5
730,41660,2014,,6,3
731,41668,2014,,6,29
732,41676,2014,,6,11
733,41770,2014,,6,17
734,41791,2014,,6,9
735,41799,2014,,6,0
736,41801,2014,,6,9
737,41797,2014,,6,1
738,41807,2014,,6,0
739,41872,2014,,6,1
740,41885,2014,,6,1
741,41006,2014,,7,15
742,41013,2014,,7,7
743,41016,2014,,7,5
